time_utc,u10_mean,v10_mean,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p10,wind10_mps_p90,wind10_direction_deg_mean
2025-01-03 15:00:00,5.6714497,-1.0575318,6.1848025,0.8853765,14.9458475,2.8127122,10.383075,280.5624
2025-01-03 16:00:00,5.4731526,-0.8384156,5.9035997,0.4916747,14.456466,2.5072033,10.32401,278.70926
2025-01-03 17:00:00,5.4686937,-0.7180341,5.8644404,0.3013693,15.609101,2.4634347,10.567534,277.4801
2025-01-03 18:00:00,5.4144516,-0.68143445,5.8035507,0.24049218,16.875679,2.3510876,10.584886,277.17322
2025-01-03 19:00:00,5.3359675,-0.6576555,5.736402,0.28007212,16.602293,2.4423952,10.490532,277.02625
2025-01-03 20:00:00,5.178749,-0.6527615,5.6002746,0.3654034,15.942652,2.3457475,10.512214,277.18402
2025-01-03 21:00:00,4.8910017,-0.65642035,5.3597574,0.05440818,15.205507,2.193917,9.919538,277.64398
2025-01-03 22:00:00,4.260471,-0.56389517,4.7744184,0.19577904,14.479253,2.056717,8.26549,277.53958
2025-01-03 23:00:00,4.085822,-0.4753253,4.6525636,0.08259959,13.912905,2.0207784,7.401437,276.63568
2025-01-04 00:00:00,3.8532286,-0.44021854,4.437148,0.0644178,13.122648,1.856108,6.888839,276.51758
2025-01-04 01:00:00,3.591538,-0.35882485,4.174509,0.028242415,12.3273115,1.8011818,6.3507075,275.70538
2025-01-04 02:00:00,3.3924475,-0.27401033,3.9389853,0.18150353,11.507776,1.6628925,6.1465607,274.6178
2025-01-04 03:00:00,3.1131094,-0.07771054,3.6251793,0.09066302,10.525018,1.6522108,5.615812,271.42993
2025-01-04 04:00:00,2.8189,0.17421041,3.3339984,0.113725826,9.882792,1.5611608,5.1423497,266.46356
2025-01-04 05:00:00,2.5536752,0.5050412,3.117863,0.3326025,8.546616,1.5189832,4.852276,258.81296
2025-01-04 06:00:00,2.3784745,0.8468224,2.9861426,0.12914525,7.158307,1.4047953,4.558474,250.40245
2025-01-04 07:00:00,2.2584834,1.1651318,2.9576166,0.30234444,7.130657,1.433729,4.6831317,242.71118
2025-01-04 08:00:00,2.1916282,1.4439124,3.028377,0.024398785,7.546511,1.3468997,5.476886,236.62187
2025-01-04 09:00:00,2.262944,1.6604923,3.2117715,0.22215892,8.296881,1.262805,6.3015018,233.7297
2025-01-04 10:00:00,2.1435585,1.9045308,3.2881997,0.12754893,9.794321,1.2180902,6.695367,228.37923
2025-01-04 11:00:00,2.176109,2.0741537,3.4255574,0.082553655,10.5258045,1.2293646,7.2671485,226.37415
2025-01-04 12:00:00,2.1800961,2.1282473,3.4965205,0.16091864,11.001165,1.1582752,7.447238,225.6895
2025-01-04 13:00:00,2.0138793,2.206361,3.5291922,0.13137348,11.223098,1.2924031,7.612034,222.3886
2025-01-04 14:00:00,1.7885408,2.1337974,3.3899138,0.08115593,11.469119,1.3586835,7.4715214,219.9696
2025-01-04 15:00:00,1.5579723,2.0089867,3.2131088,0.305896,11.763503,1.2098937,7.193519,217.79364
2025-01-04 16:00:00,1.3984181,1.9824207,3.2288811,0.23002777,12.234055,1.2902491,6.533893,215.19951
2025-01-04 17:00:00,1.3117639,2.0840504,3.3213174,0.30465212,12.394683,1.4387606,5.8314314,212.18755
2025-01-04 18:00:00,1.190859,2.1001859,3.3131535,0.17768672,12.220797,1.4351406,5.4848876,209.55435
2025-01-04 19:00:00,1.110305,2.1513062,3.2923634,0.22408304,12.0484705,1.4800193,5.3554387,207.2986
2025-01-04 20:00:00,1.0319366,2.1865697,3.2811375,0.11813092,12.01875,1.4298818,5.2411156,205.26465
2025-01-04 21:00:00,0.96102494,2.1954324,3.2750802,0.2338606,11.859544,1.381783,5.248168,203.64084
2025-01-04 22:00:00,0.63163304,2.132894,3.1150694,0.25888568,11.670193,1.487133,5.1232443,196.49608
2025-01-04 23:00:00,0.43172064,2.2315187,3.1621616,0.08421067,11.468694,1.4567475,5.0060816,190.94946
2025-01-05 00:00:00,0.22602144,2.2756355,3.1556768,0.42430624,11.037066,1.5615972,5.0545034,185.67215
2025-01-05 01:00:00,-0.050866615,2.3519745,3.2042289,0.600232,10.757848,1.6013167,5.3711324,178.76105
2025-01-05 02:00:00,-0.29997873,2.4303803,3.2464082,0.5692761,10.320057,1.6725796,5.4141374,172.96365
