date,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90
2025-05-23,3.8109305,0.052658293,12.72513,6.6764817
2025-05-24,3.6451607,0.019904837,11.819908,6.298719
2025-05-25,4.4564915,0.044133067,10.993025,7.4527326
2025-05-26,3.708208,0.054125268,10.527757,5.9361916
2025-05-27,4.2670817,0.066503465,14.168181,7.0832915
2025-05-28,4.6064196,0.050547734,10.094884,6.2657585
2025-05-29,3.7491424,0.034359187,11.493364,5.7458425
2025-05-30,3.8593833,0.009526044,11.685702,7.4043736
2025-05-31,2.005182,0.007302522,8.748835,3.3743687
2025-06-01,3.2297537,0.029567426,9.779519,5.6375294
2025-06-02,2.8214178,0.06441334,9.567372,5.4393544
2025-06-03,3.0106285,0.02682845,12.653667,5.1773643
2025-06-04,3.5089703,0.014361447,10.555695,5.7792125
2025-06-05,3.760486,0.039924167,10.833605,5.6660943
2025-06-06,5.028226,0.064264864,13.611028,8.039422
2025-06-07,3.5643823,0.022931945,9.016849,4.968395
2025-06-08,5.2379594,0.035535257,12.315248,7.457166
2025-06-09,3.5964978,0.02232863,13.009922,6.4179196
2025-06-10,4.289576,0.039873526,12.6030445,7.0409718
2025-06-11,3.4530618,0.073856235,12.323994,6.040769
2025-06-12,3.371525,0.04139257,11.050739,5.139547
2025-06-13,3.8162432,0.004244934,11.414992,6.6004357
2025-06-14,3.3786852,0.01775217,10.629798,5.9119153
2025-06-15,3.0447438,0.015723314,9.884135,5.064179
2025-06-16,3.6926162,0.055953067,10.908491,6.092158
2025-06-17,2.5833528,0.01924907,9.939693,5.350309
2025-06-18,2.8167045,0.020887682,10.837308,5.596094
2025-06-19,3.8485968,0.07743424,12.073559,6.7325897
2025-06-20,2.6501448,0.058742754,9.087421,3.9679089
2025-06-21,2.344757,0.011496543,9.8163395,3.5397654
2025-06-22,3.0001261,0.025542526,11.047766,4.888365
2025-06-23,5.453833,0.028723462,14.334362,9.038085
2025-06-24,5.3645797,0.044471473,14.776586,10.266696
2025-06-25,3.9457219,0.02928092,13.062218,6.413687
2025-06-26,3.6872637,0.019100409,13.094838,5.733316
2025-06-27,4.289312,0.053549204,12.16073,7.6672845
2025-06-28,3.8342788,0.005112264,11.681608,7.596459
2025-06-29,3.6744566,0.021821013,12.088966,6.6330523
2025-06-30,2.6556876,0.02207797,11.659975,3.8953192
2025-07-01,2.14602,0.0038627347,9.276008,3.4234188
2025-07-02,2.7035544,0.022847768,12.367103,4.911118
2025-07-03,3.9846919,0.028171133,12.36155,6.9552283
2025-07-04,2.8428514,0.04142793,11.540189,5.723697
2025-07-05,3.7706702,0.04023264,13.048792,8.006047
2025-07-06,3.3701925,0.03636039,9.986579,5.5118785
2025-07-07,3.6307821,0.038836725,11.122626,5.35523
2025-07-08,4.0821395,0.04780143,11.053022,5.783034
2025-07-09,3.6780903,0.109720856,9.65402,5.19305
2025-07-10,2.8576448,0.024319628,9.4065275,4.493679
2025-07-11,3.3159912,0.05183886,12.944168,5.977665
2025-07-12,3.2602062,0.040311817,10.98251,6.1735396
2025-07-13,2.6063483,0.011873221,10.26619,4.943479
2025-07-14,2.6312127,0.011462885,7.5019674,4.2107453
2025-07-15,3.2584617,0.07822283,10.82886,4.852256
2025-07-16,3.406501,0.070454724,10.36223,5.358328
2025-07-17,3.5996096,0.031164145,10.182922,5.547027
2025-07-18,1.9225302,0.013186225,6.22354,3.0915377
2025-07-19,2.3640642,0.021149766,10.041497,3.9861815
2025-07-20,2.671748,0.01864473,9.817777,4.60825
2025-07-21,3.0300608,0.029755829,8.67752,4.80825
2025-07-22,4.2472053,0.042361267,14.0489645,5.8712325
2025-07-23,3.9082937,0.006191572,13.035994,6.6164107
2025-07-24,2.0866563,0.0023325994,8.325292,3.7168808
2025-07-25,2.4284332,0.017463502,9.06049,4.538203
2025-07-26,2.3310509,0.009307424,7.8602386,3.9834387
2025-07-27,2.6247592,0.05852925,8.740771,4.0113773
2025-07-28,4.039489,0.2219987,12.525592,6.3560863
2025-07-29,3.9345229,0.014609962,12.847149,7.8659015
2025-07-30,3.7702315,0.10225395,14.158035,7.473202
2025-07-31,3.8209991,0.03704529,13.217704,5.721422
2025-08-01,3.2005672,0.041918896,10.461329,4.8090615
2025-08-02,3.2267485,0.013162755,13.009964,5.1619515
2025-08-03,3.9170458,0.062557034,12.461375,7.18494
2025-08-04,4.1265545,0.10081379,14.48321,6.693176
2025-08-05,4.5214286,0.054877196,14.367784,8.941376
2025-08-06,3.6385152,0.0179176,13.463693,8.178912
2025-08-07,2.655067,0.008371959,9.390733,4.863525
2025-08-08,2.6318014,0.021935968,8.1885605,4.390762
2025-08-09,2.2994332,0.011561944,10.221062,3.96573
2025-08-10,3.3533058,0.06238964,10.67234,5.6639037
2025-08-11,2.3337648,0.018411005,7.897782,3.6061413
2025-08-12,2.4777706,0.023826025,7.8105965,3.7308095
2025-08-13,2.346258,0.004769,8.49869,4.807361
2025-08-14,2.0663683,0.0020567693,8.288972,3.8540983
2025-08-15,2.8962543,0.0055939853,9.726987,5.5803514
2025-08-16,3.7369373,0.0073330193,11.99908,7.290592
2025-08-17,3.009536,0.065365605,10.84811,4.5191755
2025-08-18,2.1382954,0.011374708,5.6065526,3.203025
2025-08-19,2.3264012,0.012030759,9.7558975,4.9309936
2025-08-20,2.7956717,0.017192377,10.472108,5.4637847
2025-08-21,3.2424567,0.031055382,10.451359,5.361677
2025-08-22,4.174654,0.11655954,12.928973,8.390252
2025-08-23,3.832188,0.031437095,11.344785,7.1839848
2025-08-24,2.9503996,0.030642718,11.391573,6.1899266
2025-08-25,2.5385728,0.026141388,10.819275,5.0791
2025-08-26,2.3547685,0.0054861237,9.557363,3.7840693
2025-08-27,2.8166,0.012974547,9.527203,4.532554
2025-08-28,2.5190988,0.042752948,7.902975,3.8582191
2025-08-29,2.7749708,0.03247845,10.135699,4.782761
2025-08-30,3.0527,0.030098518,9.819572,4.38847
2025-08-31,2.8997614,0.010070812,11.510613,4.8760304
2025-09-01,2.8477623,0.024531957,9.859079,4.5972023
2025-09-02,2.7997513,0.030772138,10.1108885,4.3597884
2025-09-03,4.4221973,0.02164133,15.585343,7.1838546
2025-09-04,3.3963072,0.011186701,13.268706,5.9243126
2025-09-05,3.1429536,0.02381745,8.81093,4.8615394
2025-09-06,2.1534655,0.00338212,8.492011,3.4769514
2025-09-07,3.3174107,0.012240497,12.779872,5.327063
2025-09-08,2.4618628,0.011841804,12.469084,4.4764385
2025-09-09,2.437025,0.027113099,9.366381,4.2207966
2025-09-10,2.2940862,0.0044497624,10.528585,4.107693
2025-09-11,4.3942304,0.014421429,12.853599,6.364208
2025-09-12,4.2742662,0.014477576,13.226119,7.74141
2025-09-13,3.7360775,0.014512263,12.447584,6.7548027
2025-09-14,3.573596,0.010794178,11.964142,5.7387924
2025-09-15,6.1222787,0.046571776,17.848663,9.837871
2025-09-16,6.694819,0.08883507,17.58875,10.973087
2025-09-17,4.749273,0.11899418,14.342129,9.191285
2025-09-18,4.297365,0.08226127,12.073799,8.617501
2025-09-19,3.2246497,0.020008625,11.153341,6.635599
2025-09-20,3.4350405,0.034118026,12.450827,5.682162
2025-09-21,4.281874,0.024740823,16.333363,8.432794
2025-09-22,4.210654,0.05948259,12.389423,7.4584527
2025-09-23,3.5711632,0.021328108,9.4753685,5.544313
2025-09-24,4.689496,0.068674825,12.100101,6.770424
2025-09-25,4.6131186,0.022198286,13.167418,8.077973
2025-09-26,4.244921,0.0324986,12.673113,8.514498
2025-09-27,3.0505352,0.016497884,11.327812,6.6712317
2025-09-28,2.3304455,0.033500385,8.843493,4.3134437
2025-09-29,2.1756508,0.00209596,9.652058,3.7537756
2025-09-30,2.5016677,0.009235211,8.631948,4.0966206
2025-10-01,2.720266,0.05112793,9.547328,3.552335
2025-10-02,2.709101,0.022549273,12.493115,4.037928
2025-10-03,3.6802547,0.02942295,20.561539,6.805675
2025-10-04,6.7841763,0.05289112,19.512838,11.332587
2025-10-05,6.672989,0.2022166,18.115993,11.718089
2025-10-06,5.0247965,0.07960287,16.227251,8.084038
2025-10-07,2.7977474,0.021568356,9.119909,5.020964
2025-10-08,2.4053202,0.020849252,8.784928,5.015718
2025-10-09,3.23402,0.041934554,13.071458,6.54742
2025-10-10,4.12095,0.036413252,13.174059,8.044858
2025-10-11,3.5736275,0.014563377,12.889304,6.7115426
2025-10-12,3.113293,0.035909303,12.307863,5.652223
2025-10-13,2.2508857,0.025226433,9.0094,3.8270738
2025-10-14,2.5545657,0.0188341,9.804606,4.221371
