latitude,longitude,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90,u10_mean,v10_mean,wind10_direction_deg_mean
48.25,12.0,2.4085689,0.02388472,9.066542,4.1936746,0.31450915,-0.21324925,304.13876
48.25,12.25,2.3594167,0.0020567693,8.9848385,4.176193,0.2852999,-0.28740725,315.21082
48.25,12.5,2.3293502,0.033010952,9.10666,4.1411753,0.28280085,-0.28362986,315.08386
48.25,12.75,2.3480694,0.022070313,8.740076,4.152873,0.20876282,-0.17398241,309.80774
48.25,13.0,2.393146,0.029951278,8.735853,4.238734,0.12521589,-0.04058096,287.95688
48.25,13.25,2.4495866,0.014761969,8.663535,4.3013587,0.037446108,-0.018763375,296.61438
48.25,13.5,2.492014,0.02224577,8.641187,4.3814726,0.11935429,-0.109240994,312.46683
48.25,13.75,2.4914033,0.032845836,8.755268,4.430937,0.21053746,-0.22343427,316.7022
48.25,14.0,2.4836214,0.029403212,8.890973,4.4647713,0.30158585,-0.38597563,321.99734
48.25,14.25,2.4478292,0.041367363,8.926216,4.4177895,0.2267445,-0.43583894,332.51437
48.25,14.5,2.493635,0.0757177,9.125113,4.4857616,0.1881685,-0.47777998,338.50354
48.25,14.75,2.600916,0.012813068,9.227421,4.583544,0.22850399,-0.46798044,333.97482
48.25,15.0,2.6034107,0.015369018,9.154717,4.5955224,0.41839144,-0.4263227,315.53796
48.5,6.0,3.3583822,0.086251825,11.7467785,5.664843,0.33789223,0.4764189,215.34555
48.5,6.25,3.2528317,0.102882266,11.681391,5.6315346,0.32302642,0.56245005,209.86963
48.5,6.5,3.185227,0.04688696,11.690188,5.5865583,0.26224923,0.6429032,202.19124
48.5,6.75,3.1681526,0.027703915,11.318429,5.506846,0.11396602,0.730175,188.87119
48.5,7.0,2.8572152,0.049644575,10.2391405,5.0044503,0.2567099,0.53746355,205.53064
48.5,7.25,2.5581489,0.05644453,9.135613,4.493686,0.41766557,0.30744562,233.64304
48.5,7.5,2.3214111,0.0033517277,8.567244,4.115689,0.43783885,0.21291894,244.06657
48.5,7.75,2.1438365,0.016526403,8.464,4.0451765,0.20349017,0.30660617,213.57167
